date,buy_or_sell
2021-02-01,1
2021-02-25,1
2021-06-23,1
2021-06-29,1
2021-11-05,1
2021-12-07,1
2021-12-20,-1
2022-01-24,1
2022-05-19,-1
2022-05-23,-1
2022-08-26,1
