stock_code,date,cross_type,last_K,last_D,K_value,D_value
2330,2021-01-15,死亡交叉,90.17675614447755,87.76978504705791,84.56219717265412,86.70050238833423
2330,2021-01-22,死亡交叉,91.14764696478665,88.34963727065549,83.78906789685126,86.82936064993993
2330,2021-06-04,死亡交叉,90.20282825443638,89.41240787412985,87.2956239415506,88.70672452312354
2330,2021-06-21,死亡交叉,83.08998445063808,82.51008506864824,55.39326757376909,73.47107243254261
2330,2021-09-07,死亡交叉,91.74700010243674,87.83278969143251,83.8596167092071,86.50831218895867
2330,2021-09-24,黃金交叉,11.771686149243031,19.808640864770755,20.347769566930825,19.988330443807012
2330,2021-10-05,黃金交叉,13.788939139590706,18.648081671213998,18.71641679667461,18.67084137550749
2330,2022-01-06,死亡交叉,83.68425144908646,80.4714618853527,76.30224348588285,79.08164333714032
2330,2022-02-10,黃金交叉,11.885341499084497,18.928231639645286,32.06146010402691,23.305951155131368
2330,2022-03-10,黃金交叉,7.344257694694493,7.89674325995321,22.583224395408386,12.79222417953463
2330,2022-03-17,黃金交叉,13.20633655493167,16.57344623472274,35.27477754693125,22.807200531568903
2330,2022-04-01,死亡交叉,82.41623897539168,80.43294765692804,70.94408720663077,77.26991690350144
2330,2022-06-27,黃金交叉,5.674194779200734,8.826248068677348,18.298906017920636,11.983788734624392
2330,2022-07-07,黃金交叉,8.788659343182871,11.726852987691668,17.04630377696995,13.499989750781177
2330,2022-07-26,死亡交叉,89.72920888327599,85.74458574241734,85.21621185690248,85.56837554545127
2330,2022-07-28,死亡交叉,86.57262433903301,85.9030392401867,79.19648384154621,83.66743710645243
2330,2022-08-01,死亡交叉,84.71246477578539,84.01569564711707,79.28191352671081,82.43768583588005
2330,2022-08-19,死亡交叉,87.10677316272016,86.46795863583701,81.70746131757144,84.88104131528895
2330,2022-09-12,黃金交叉,8.602036283333062,11.49264290025657,20.381134209914812,14.45545888133598
2330,2022-10-04,黃金交叉,3.617415150428217,7.0801680481596225,10.502214378128503,8.220841937299092
2330,2022-10-27,黃金交叉,8.774204166283837,10.429938563211802,19.81341279821099,13.557749750448224
2330,2022-11-28,死亡交叉,96.77215045843778,94.00109368813659,72.4857088509575,86.82921191311148
2330,2022-12-30,黃金交叉,15.273047844795318,16.773875101539815,17.729183770467554,17.092294232204402
2330,2023-01-31,死亡交叉,92.85574252123183,87.35952007659439,85.96555309527088,86.8947775212888
2330,2023-02-06,死亡交叉,91.02633118587198,87.88414764480748,81.13868319290839,85.63557385851496
2330,2023-02-15,死亡交叉,87.91370038804001,84.69586222397386,62.77573719907961,77.38907649318855
