date,buy_or_sell
2021-03-03,-1
2021-04-07,1
2021-04-21,-1
2021-05-06,-1
2021-06-02,1
2021-07-01,-1
2021-08-05,1
2021-08-27,1
2021-09-30,-1
2021-10-22,1
2021-12-08,-1
2021-12-27,1
2022-02-14,-1
2022-05-18,1
2022-06-01,1
2022-06-16,-1
2022-07-22,1
2022-09-02,-1
2022-11-11,1
2022-12-15,-1
2023-01-12,1
2023-03-03,-1
